Frase lida, Palavras Reconhecidas, Peso da Frase, Palavras Aprendidas
New Uaw Slogan: Fighting For Their Right To Steal Money From Workers, To For Workers Money New Steal Fighting, 0.0, Uaw Slogan: Their Right From
The Resources I Consume Personally Are Very Low, Very Resources I Low, 0.0, The Consume Personally Are
Am Thinking Of Starting New University: Texas Institute Of Technology & Science, Science Am Thinking Of University: Texas Institute Technology & New Starting, 3.57, 
Tuition Is In Dogecoin & U Get A Discount If U Have A Dog, Dog & Tuition Is In Dogecoin U Get A Discount If Have, 5.0, 
Nothing Matters, Matters Nothing, 0.0, 
Almost No One Understands This, Understands No, -2.5, Almost One This
Pop Music Has Both Literal & Figurative Stockholm Syndrome, & Stockholm Syndrome, 0.0, Pop Music Has Both Literal Figurative
I’Ve Thought About And… I’M Not Sorry For Party Rocking, Thought Sorry For Not, 2.5, I’Ve About And… I’M Party Rocking
I Had Too Many Bottles Of Teslaquila!, Of Bottles Many I Had Too Teslaquila!, 0.62, 
If You’D Like To Join Tesla Ai But Can’T Easily Move To Palo Alto Or Austin That Is Acceptable For Extremely Excellent Candidates Where Inefficiency Of Distance Is Overcome By Talent, Acceptable Talent Excellent Of Is If You’D Like To Join Tesla Ai But Can’T Easily Move Palo Alto Or Austin That For Candidates Where Overcome By Extremely Inefficiency Distance, 4.06, 
The City Of Stockholm Is Known As An Excellent City With A Large Amount Of Scientific Resources Furthermore The Workers Who Studied At Stockholm'S New University Are Extremely Talented Which Has Led Many Companies To Consider Moving To Stockholm Due To The Low Number Of Workers In Their Original Cities And Now They Know They Do Not Need To Continue Fighting For Workers, Excellent Of Is In A To For Workers Resources New Extremely Stockholm Many Low Not Fighting, 1.67, The City Known As An With Large Amount Scientific Furthermore Who Studied At Stockholm'S University Are Talented Which Has Led Companies Consider Moving Due Number Their Original Cities And Now They Know Do Need Continue
